,dc.keywords
283,opencitations corpus
284,oscar
285,scholarly data
286,sparql
287,theoretical computer science
288,computer science (all)
289,semantics
290,analytics
291,visualization
292,scholarly data
293,scholarly dissemination
294,open citations
295,opencitations indexes
296,open science infrastructures
297,owl ontologies
298,scholarly communication
299,scholarly publishing
300,semantic publishing
301,spar
302,theoretical computer science
303,computer science (all)
304,agile ontology development methodology
305,conceptual modelling
306,knowledge engineering
307,ontology engineering
308,owl ontologies
309,samod
310,test-driven development
311,theoretical computer science
312,computer science (all)
313,analysis of linked data
314,exploratory search
315,knowledge exploration
316,knowledge patterns
317,visual exploration
318,information systems
319,computer science applications1707 computer vision and pattern recognition
320,computer networks and communications
321,computer science (all)
322,mathematics (all)
323,semantic publishing
324,spacin
325,opencitations
326,opencitations corpus
327,semantic publishing
328,citation data
329,linked open data visualisation
330,rdf
331,semantic web
332,sparql
333,computer science (all)
334,information systems
335,digital libraries and archives
336,applied computing
337,fine arts
338,document metadata
339,data conversion
340,data reengineering
341,data visualisation
342,fast-fashion design
343,ontology
344,owl
345,semantic web
346,software
347,human-computer interaction
348,computer networks and communications
349,occ
350,open citation data
351,opencitations
352,opencitations corpus
353,public domain
354,spar ontologies
355,theoretical computer science
356,computer science (all)
357,data modeling
358,interoperability
359,linked open data for smart cities
360,rdf data processing
361,semantics and egovernment
362,management information systems
363,information systems
364,computer science applications1707 computer vision and pattern recognition
365,information systems and management
366,digital publishing
367,document conversion
368,rash
369,semantic publishing
370,semantic web
371,xslt
372,computer science (all)
373,scholarly data
374,semantics
375,analytics
376,visualization
377,save-sd
378,semantics
379,analytics
380,visualization
381,scholarly data
382,odp
383,publishing process
384,pwo
385,workflow description
386,information systems
387,computer science applications1707 computer vision and pattern recognition
388,computer networks and communications
389,html-based scholarly articles
390,raje
391,rash
392,rash framework
393,research article in simplified html
394,research communication
395,web-first format
396,software
397,information systems
398,computer science applications1707 computer vision and pattern recognition
399,scholarly data
400,semantic publishing
401,accessibility in education
402,accessibility in scientific documents
403,accessible graphs
404,rash
405,computer networks and communications
406,computer science applications1707 computer vision and pattern recognition
407,hardware and architecture
408,communication
409,akoma ntoso
410,judicial documents
411,normative documents
412,owl 2 dl
413,parliamentary documents
414,undo
415,united nations
416,theoretical computer science
417,computer science (all)
418,change tracking
419,semantic data
420,provenance information
421,opencitations
422,opencitations corpus
423,semantic publishing
424,sparql
425,rdf
426,machine reading
427,semantic publishing
428,spar ontologies
429,ontologies
430,formal models
431,earmark
432,linked open data
433,ontologies
434,ontology design patterns
435,citation database
436,opencitations
437,opencitations corpus
438,scholarly communication
439,semantic publishing
440,html-based format
441,scholarly html
442,rash
443,citation database
444,opencitations
445,opencitations corpus
446,scholarly communication
447,semantic publishing
448,scholarly data
449,scholarly communication
450,semantic publishing
451,linked data
452,ontologies
453,regulations
454,rights
455,semantic web and its applications
456,semantic web for the legal domain
457,computer networks and communications
458,computer science applications1707 computer vision and pattern recognition
459,information systems
460,deo
461,doco
462,document components
463,pdfx
464,rhetoric
465,spar ontologies
466,structural patterns
467,utopia documents
468,computer networks and communications
469,computer science applications1707 computer vision and pattern recognition
470,information systems
471,information realization
472,information entities
473,information objects
474,ontology design patterns
475,semantic web
476,photo archive
477,ontologies
478,authorship
479,linked data
480,ontology
481,ontology design patterns
482,linked data
483,ontology reuse
484,extreme design
485,federico zeri
486,photography
487,rdf
488,smart cities
489,semantic web
490,open data
491,ontologies
492,citations
493,information interfaces and presentation
494,scholarly data visualization
495,semantic publishing
496,information systems
497,software
498,linked data
499,machine reading
500,semantic web
501,computer networks and communications
502,software
503,data reengineering
504,linked open dataset
505,scholarly publications
506,semantic enhancement
507,semantic publishing
508,macja
509,semantic publishing
510,spar ontologies
511,computer science (all)
512,rdf dataset visualization
513,rslt
514,templates
515,computer science (all)
516,citations
517,open access
518,open citation corpus
519,references
520,semantic publishing
521,spar ontologies
522,information systems
523,library and information sciences
524,rdf dataset visualisation
525,rslt
526,templates
527,computer science (all)
528,theoretical computer science
529,digital publishing
530,document conversion
531,rash
532,semantic publishing
533,semantic web
534,xslt
535,computer science (all)
536,data reengineering and enhancement
537,linked open data
538,scholarly data
539,semantic lancet project
540,semantic publishing
541,spar ontologies
542,computer science (all)
543,theoretical computer science
544,delicious
545,folksonomy
546,latent semantic analysis
547,topicality and non-topicality of tags
548,umbrella tags
549,user testing session
550,information systems
551,library and information sciences
552,vagueness
553,ontologies
554,semantic web
555,odp
556,publishing process
557,pwo
558,workflow description
559,computer science (all)
560,vagueness
561,ontologies
562,semantic web
563,ontologies
564,annotation
565,geolat
566,bibliographic ontology
567,frbr
568,functional requirements for bibliographic records
569,scientific discourse
570,owl
571,bibliometric data
572,bido
573,data mining
574,expert search
575,hierarchical clustering
576,owl
577,rdf
578,research data
579,semantic web
580,sparql
581,computer science (all)
582,xml
583,document schemas
584,ontologies
585,bibliographic references
586,biro
587,c4o
588,citation network
589,renhancer
590,semantic publishing
591,spar
592,computer science (all)
593,knowledge engineering
594,citations
595,egovernment
596,gis-based data management
597,linked open data extraction and publication
598,open data applications
599,human-computer interaction
600,computer networks and communications
601,1707
602,software
603,ontology documentation
604,cultural heritage
605,digital cultural heritage
606,linked open data
607,digital editions
608,digital libraries
609,digital archives
610,ontologies
611,relational databases
612,ditto
613,graffoo
614,graphical notation
615,owl
616,yed
617,markup
618,earmark
619,xml
620,overlapping
621,eac(cpf)
622,ontology
623,isdf
624,pro
625,political role
626,computer science (all)
627,semantic web for the legal domain
628,semantic publishing
629,document semantics
630,context and content
631,ontologies
632,document semantics
633,semantic publishing
634,web interface
636,semantic web
637,scholarly publishing
638,semantic publishing and referencing ontologies
639,earmark
640,lode
641,kc-viz
642,graffoo
643,gaffe
644,spar ontologies
645,scholarly communications
646,linked data
647,emergency vehicle routing
648,geo-linked open data applications
649,linked egovernment data extraction and publication
650,sustainable mobility
651,computer science (all)
652,theoretical computer science
653,bag
654,collection
655,list
656,owl
657,set
658,computer networks and communications
659,computer science applications1707 computer vision and pattern recognition
660,information systems
661,computer science (all)
662,emergency vehicle routing
663,geo-linked open data applications
664,linked egovernment data extraction and publication
665,sustainable mobility
666,computer science (all)
667,frbr
668,functional requirements for bibliographic records
669,scheda f
670,cidoc-crm
671,rdf
672,owl
673,fabio
674,prov-o
675,annotations
676,earmark
677,embedded markup
678,linked open data
679,stand-off markup
680,knowledge management
681,semantic publishing
682,citalo
683,citation function
684,eac
685,encoded archival description
686,semantic models
687,ontologies
688,tei
689,text encoding initiative
690,geographic ontology
691,semantic publishing
692,diagrams
693,modelling
694,owl
695,ontologies
696,semantic publishing
697,citation function
698,doco
699,document components
700,xml
701,europeana data model
702,rdf
703,ontologies
704,frbr
705,linked data
706,knowledge engineering
707,europeana data model
708,digital libraries
709,dublin core
710,linked data
711,ontologies
712,ontology browser
713,ontology engineering tools
714,ontology documentation
715,citations
716,semantic publishing
717,change tracking
718,earmark
719,frbr
720,over-lapping markup
721,owl ontologies
722,provenance data
723,computer science (all)
724,design patterns
725,xml schema design
726,docbook
727,tei
728,timed abstract objects
729,document as strings
730,frbr
731,functional requirements for bibliographic records
732,xml
733,earmark
734,embedded markup
735,overlapping markup
736,owl
737,publication characterization
738,scholarly reference
739,semantic publishing
740,semantic web
741,semantic lenses
742,semantic publishing
743,spar ontologies
744,owl ontologies
745,semantic publishing
746,markup languages
747,semantic mapping
748,jats
749,lode
750,ontology documentation
751,semantic web
752,owl ontologies
753,web tool
754,ontology documentation
755,owiki
756,gaffe
757,ontology editor
758,ontology authoring
759,semantic publishing
760,semantic web
761,linked data
762,semantic web
763,semantic publishing
764,lode
765,ontology visualization
766,key concepts
767,ontology summarization
768,ontology navigation
769,ontology engineering tools
770,ontology visualization
771,key concepts
772,ontology summarization
773,ontology navigation
774,ontology engineering tools
775,empirical evaluation
776,earmark
777,markup languages
778,owl ontologies
779,semantic web
780,overlapping markup
781,earmark
782,lmm
783,linguistic act
784,markup semantics
785,ontology visualization
786,ontology navigation
787,user interface
788,document structure
789,earmark
790,owl
791,overlapping markup
792,structural markup ontology
793,structural patterns
794,validation
795,semantic web
796,web documents
797,wiki
798,semantic wiki
799,automatic form generation
800,owiki
801,overlapping markup
802,ontologies
803,semantic web
804,earmark
805,cognitive systems and knowledge engineering
806,human-knowledge interaction
807,computer science (all)
808,owl
809,swrl
810,literal reiﬁcation
811,ontology design pattern
812,ontology
813,legal xml
814,folksonomies
815,semantic web
816,word space models
817,ontology
818,wiki
819,semantic wiki
820,owiki
821,folksengine
822,folksonomies
823,query expansion
824,semantic search engine
825,
826,model/view/controller
827,semantic forms
828,gaffe
829,legal xml
830,ontologies
831,akoma ntoso
832,markup languages
833,
834,transclusions
835,earmark
836,markup languages
837,xanadu
838,ontology
839,semantic web
840,key concepts
841,ontology summarization
842,natural categories
843,cognitive science
844,n/a
845,data visualisation
846,rdf
847,linked data
848,higraphs
849,modeling and visualization
850,critical design
851,wikidata
852,reification
853,knowledge representation
854,cultural heritage
855,digitisation cultural heritage
856,european policy
857,legal framework
858,research and innovation
859,n/a
860,data scarcity
862,deep learning
864,tf-idf
866,syntagmatic relations
868,law
869,explanatory ai
870,explainable ai
871,theory of explanations
872,human–computer interaction
873,human-centred explanations
874,conjectures
875,glam
876,provenance
877,uncertainty
878,rdf
879,methods for explanations
880,education and learning-related technologies
881,explanatory artificial intelligence (yai)
882,objective explainability metric
883,xai
884,degree of explainability
885,explainable artificial intelligence
887,explainability
889,metrics
891,standardisation
893,artificial intelligence act
894,glam
895,disagreement
896,trustworthiness
897,contexts
898,n/a
899,n/a
900,legal question answering
901,private international law
902,knowledge graph extraction
903,explainable artificial intelligence
904,explainability
905,metrics
906,standardisation
907,artificial intelligence act
908,knowledge organization
909,text encoding
910,critical digital edition
911,methods for explanations
912,education and learning-related technologies
913,explanatory artificial intelligence (yai)
914,akoma ntoso
915,classification ai
916,nlp
917,legal drafting techniques
919,n/a
920,trustworthy ai
922,explanatory ai (yai)
924,xai
926,hci
927,multiple points of view
928,contrasting assertions
929,rdf serialization
930,scholarly conjectures
931,multi-label text classification
932,deep learning
933,united nations resolutions
934,sustainable development goals
935,akoma ntoso
936,n/a
937,legal knowledge extraction
938,question-answering
939,ontology design
940,pattern alignment
942,interactive explanatory tool
944,general data protection regulation
946,trustworthy artificial intelligence
947,diff
948,pinocchio
949,promessi sposi
950,laboratorio
951,blockchain
952,dlt
953,tokenization
954,and digital government
955,decentralized web technologies
956,legal digital contracts
957,legal informatics
958,ricardian contracts
959,smart contracts
960,legal xml vocabulary
961,markup language
962,modules
963,akoma ntoso
964,change detection
965,diff
966,interpretation of changes
967,textual differences
968,versioning
969,explanation
971,explainability
973,xai
975,hci
976,collaborative editing
977,html
978,technical documentation
979,templating
980,computer science applications
981,european case law identifier
982,legal semantic web
983,judicial transparency
984,open data
985,change detection
986,change-tracking
987,diff algorithms
988,edit operations
989,high-level changes
990,xml diff
991,software
992,knowledge management
993,semantic web
994,ontology
995,delta model
996,diff algorithms
997,metrics
998,output quality
999,xml diff
1000,software
1001,hardware and architecture
1002,law
1003,descriptive markup
1004,document visualisation
1005,pattern recognition
1006,structural patterns
1007,xml
1008,computer networks and communications
1009,software
1010,letteratura italiana
1011,edizioni digitali
1012,manzoni
1013,scholarly editions
1014,digital humanities
1015,diff
1016,philology
1017,textual bibliography
1018,versioning
1019,human-computer interaction
1021,diff algorithms
1022,deltas
1023,metrics
1024,health informatics
1025,e-health
1026,networks
1027,legal xml
1028,akoma ntoso
1029,legal normative reference
1030,digital humanities
1031,metadata
1032,ontologies
1033,vocabulary
1034,annotation tools
1035,collaboration environment
1036,open annotation collaboration
1037,digital editions
1038,linked data
1039,ontologies
1040,markup languages
1041,tei
1042,text encoding initiative
1043,allot
1044,entity description
1045,knowledge base query
1046,legal ontology
1047,linked data
1048,ontology alignment
1049,knowledge enginnering
1050,wikis
1051,web automation
1052,wikiway
1053,constrained wikis
1054,wiki templating
1055,document engineering
1056,document formatting
1057,layout algorithms
1058,pagination
1059,xml publishing
1060,akoma ntoso
1061,legislative xml
1062,usability
1063,legislative process
1064,ontology
1065,legalxml
1066,metadata
1067,akoma ntoso
1068,legislative xml
1069,xml schema language
1070,akoma ntoso
1071,legislative xml
1072,xml schema language
1073,ontologies
1074,akoma ntoso
1075,legislative xml
1076,legislative drafting
1077,
1078,privacy
1079,web 2
1080,0
1081,google docs
1082,ajax
1083,ebook
1084,document metadata
1085,semantic web
1086,wiki
1087,web technologies
1088,ruleml
1089,logic rules
1090,web architectures
1091,web engineering
1092,semantic web
1093,semantic wiki
1094,wiki templating
1095,
1096,mediawiki
1097,metadata
1098,metadata editor
1099,template
1100,web 2
1101,0
1102,semantic wiki
1103,legal xml
1104,
1107,web technologies
1108,applied computing
1109,social tagging system
1110,semantic web
1111,folksonomy
1112,formal classification and subjecting system
1115,business process management
1116,coordination models and languages
1117,web technologies
1118,workflow systems
1119,validation languages
1120,xdtd
1121,legal xml
1122,legal ontology
1123,legal system
1124,time and norms
1125,uri/purl
1126,frbr
1129,
1130,legal informatics
1131,legal xml
1132,legal ontology
1133,logic
1134,uri
1135,temporal model
1136,ontology
1137,frbr
1138,
1139,
1140,
1141,wiki engine
1142,template
1143,semantic web
1144,microformats
1145,
1146,
1147,
1148,
1149,
1150,
1151,
1152,
1153,semantic wiki
1154,semantic web
1155,web technologies
1156,e-lerning
1157,web standard
1158,accessibility
1159,e-learning
1160,accessibility
1161,usability
1162,scorm
1163,
1164,
1165,content customization
1166,web 2
1167,0
1168,global editability
1169,wiki
1170,semantic web
1171,ontologies
1172,
1173,
1174,
1175,
1176,
1177,
1178,
1179,
1180,
1181,web authoring
1182,
1183,
1184,
1185,xml
1186,co-constraints
1187,schema languages
1188,schemapath
1189,
1190,
1191,semantic collection
1192,linked open data
1193,mythologiae
1194,storytelling
1195,digital hermeneutics
1196,iconology
1197,iconography
1198,art interpretation
1199,ontology
1200,cultural heritage
1201,semantic web
1202,knowledge graph evaluation
1203,iconology
1204,iconography
1205,visual works
1206,semantic alignment
1207,annotation user interface
1208,crowdsourcing
1209,linked data
1210,cultural heritage
1211,omeka
1212,iiif
1213,mirador
1214,cultural heritage ontologies
1215,metadata
1216,archival founds and collections
1217,artchives
1218,archival artistic data
1219,linked open data
1220,data analysis
1221,deterministic rules
1222,tei
1223,rdf
1224,scholarly tools
1225,python
1226,collezione semantica
1227,linked open data
1228,mythologiae
1229,citazioni canoniche
1230,ermeneutica digitale
1231,workflow
1232,semantic web
1233,lucrezia borgia
1234,rinascimento
1235,mostra virtuale
1236,documenti inediti
1237,edizione semantica
1238,ipermedialità
1239,affidabilità
1240,relazioni
1241,contesto
1242,livelli
1243,linked open data
1244,descrizione
1245,interpretazione
1246,digital humanities
1247,aiucd
1248,digital scholarly research
1249,project-oriented method
1250,linked open data
1251,art history
1252,archives
1253,digital edition
1254,semantic web
1255,graph data model
1256,letteratura italiana
1257,cronologia ragionata
1258,autori
1259,generi
1260,opere
1261,lucrezio
1262,de rerum natura
1263,antico testamento
1264,dante
1265,commedia
1266,omero
1267,iliade
1268,edizione digitale
1269,digitale nativo
1270,archivi di persona
1271,lucrezia borgia- rinascimento- ferrara- modena- epistolografia
1272,lucrezio
1273,seneca
1274,iconology
1275,art history
1276,semantic web
1277,ontologies
1278,semantic collection
1279,linked open data
1280,mythologiae
1281,canonical citations
1282,digital hermeneutics
1283,lucrezio
1284,seneca
1285,digital finding aid
1286,linked open data
1287,writers’ archives
1288,ead
1289,dc
1290,edm
1291,eac-cpf
1292,lod workflow
1293,linked open data
1294,lam
1295,knowledge organization
1296,dhdk
1297,giustizia
1298,dike
1299,esiodo
1300,pindaro
1301,platone
1302,eschilo
1303,cicerone
1304,aulo gellio
1305,pelagio
1306,dante
1307,leibniz
1308,ecclesiaste
1309,vangelo di luca
1310,apocalisse
1311,archival linked data
1312,data model
1313,digital hermeneutics
1314,library linked data
1315,semantic web
1316,tei
1317,python
1318,knowledge graph
1319,digital edition
1320,contemporary literature
1321,knowledge organization
1322,intertextuality
1323,intratextuality
1324,text encoding
1325,semantic digital edition
1326,testo digitale
1327,editoria
1328,accesso aperto
1329,semantic web
1330,riproducibilità
1331,data visualization
1332,ontology modelling
1333,cultural heritage
1334,archival science
1335,semantic relationship
1337,tei
1338,linked open data
1339,ontologies
1340,digital scholarly editions
1341,semantic publishing
1342,learning areas
1343,programme catalogue
1344,professional figures
1345,digital humanities
1346,stakeholders and partnerships
1347,ontologies
1348,knowledge
1349,interpretation
1350,data structures
1351,controlled vocabularies
1353,ontologies
1354,linked open data
1355,personal archives
1356,integration
1357,heterogeneity
1358,linked open data
1359,photo archive
1360,ontology development
1361,ontologie
1362,preservazione
1363,provenienza
1364,atto interpretativo
1365,rappresentazione dati
1366,web semantico
1367,linked open data
1368,filologia
1369,lettere
1370,vespasiano da bisticci
1372,archivi
1373,cidoc-crm
1374,frbr
1375,fotografia
1376,ontologie
1377,semantic web
1378,organizzazione della conoscenza
1379,ontologie
1380,ermeneutica
1381,metodologia
1382,classificazione
1383,digital humanities
1384,objects' lifecycle
1385,linked data
1386,ontology
1387,semantic web
1388,xml semantics
1389,modeling
1390,text encoding theory
1391,diario postumo
1392,eugenio montale
1393,forgery
1394,authorship attribution
1395,filologia
1396,interdisciplinarità
1397,falsi
1398,falsari
1399,poesia
1400,poesia italiana del novecento
1401,ontology tei xml interoperability lod digital libraries
1402,text retrieval
1403,text analysis
1404,text mining
1405,digital humanities
1406,social
1407,web skills profiles
1408,cross disciplinary
1409,data modelling
1410,facets
1411,context
1412,cultural heritage
1413,interpretation
1414,provenance
1415,authoritativeness
1416,digital scholarly infrastructure
1417,web environment
1418,bibliographic codes
1419,ambienti collaborativi
1420,filologia d'autore
1421,frbr
1422,tei
1423,linked open data
1424,scholarly editions
1425,authoritativeness
1426,digital humanities
1427,informatica umanistica
1428,ontologies
1429,proles
1430,document centric
1431,data centric
1432,eac-cpf
1433,tei
1434,roles
1435,creators
1436,ontologies
1437,hico
1438,proles
1439,prov-o
1440,spar ontologies
1441,frbr model
1442,provenance
1443,text encoding initiative (tei)
1444,digital history
1445,digital editions
1447,xml
1448,frbr
1449,semantic web
1450,metadata
1451,geography
1452,ontology
1453,open annotation collaboration
1454,controlled vocabularies
1455,digital humanities
1456,technology and the humanities
1457,internet or the humanistic machine
1458,writing and content production
1459,representing and archiving
1460,searching and organizing
1461,dh in a global perspective
1462,ontology matching
1463,data modelling
1464,facets
1465,context
1466,cultural heritage
1467,digital humanities
1468,digital philology
1469,digital cultural heritage
1470,digital libraries and archives
1471,digital cultural heritage
1472,digital humanities
1473,computer science
1474,archival studies
1475,digital humanities
1476,phantoms
1477,web environment
1478,digital editions
1479,digital tools
1480,ontologies
1481,open annotation collaboration
1482,linked data
1483,semlib
1484,tei
1485,authority data
1486,digital editions
1487,linked data
1488,semantic indexing
1489,digital editions
1490,web semantico
1491,linked data
1492,ontologies
1493,letteratura greca
1494,letteratura latina
1495,rivoluzione
1496,traduzioni
1497,filologia classica
1498,forgery
1499,quantitative linguistics
1500,image analysis
1501,mathematics
1502,philology
1503,annotation
1504,data model
1505,edizione digitale
1506,ambienti collaborativi
1507,markup xml/tei
1508,vespasiano da bisticci
1509,firenze
1510,xv secolo
1511,lettere
1512,barbari
1513,permanenza del classico
1514,ontologies
1515,digital editions
1516,rdf
1517,knowledge base
1518,humanities computing
1519,figli
1520,padre
1521,maestri e allievi
1522,il testamento di dio
1523,fortuna dei classici
1524,omero
1525,virgilio
1526,agostino
1527,apocalisse
1528,filologia computazionale
1529,ipertesti letterari
1530,dbms multimediali
1531,metadati
1532,digital humanities
1533,markup dichiarativo
1534,digital libraries and archives
1535,semantic web
1536,animali
1537,bibbia
1538,letteratura greca
1539,letteratura latina
1540,traduzione
1541,
1542,database
1543,xml
1544,soggettazione
1545,classificazione
1546,thesauri
1547,permanenza del classico
1548,authority records
1549,digital humanities
1550,web writing
1551,search engines
1552,digital preservation
1553,markup languages
1554,history of computer science
1555,digital humanities
1556,image processing
1557,digital libraries and archives
1558,database
1559,web semantico
1560,text analysis
1561,digital preservation
1562,linguaggi di markup
1563,metadati
1564,open archives
1565,digital libraries
1566,denaro
1567,bibbia
1568,letteratura greca
1569,letteratura latina
1570,traduzione
1571,l'uomo è denaro
1572,la maledizione dei poveri
1573,governare la ricchezza
1574,la vera ricchezza
1575,letteratura latina
1576,letteratura greca
1577,letteratura biblica
1578,traduzione
1579,politica
1580,letteratura e nuove tecnologie
1581,humanities computer science
1582,modelli ipermediali
1583,humanities computer science
1584,informatica umanistica
1585,informatica e critica del testo
1586,filologia computazionale
1587,edizione digitale
1588,complexity
1589,humanities computer science
1590,xml/tei
1591,text model
1592,xml/tei
1593,tassonomia dei segni del manoscritto
1594,livelli della trascrizione annotata
1595,edizione digitale
1596,rappresentare e interpretare
1597,madre
1598,bibbia
1599,letteratura greca
1600,letteratura latina
1601,traduzione
1602,variantistica
1603,edizione digitale
1604,editor manoscritti
1605,filologia e informatica
1606,xml/tei
1607,apparato critico
1608,fonti primarie
1609,rappresentazione digitale
1610,markup
1611,
1612,mandragola di machiavelli
1613,edizione elettronica
1614,progetto testi italiani in linea
1615,struttura del testo teatrale
1616,ipertesto
1617,diritto
1618,legge
1619,giustizia
1620,potere
1621,spirito
1622,human behaviour
1623,psychology
1624,emotions
1625,knowledge graph
1626,word embeddings
1627,implicit biases
1628,gender
1629,cognitive semantics
1630,foundations of trustworthy ai
1631,automated reasoning
1632,machine learning
1633,combinatorial optimization
1634,foundations of trustworthy ai
1635,automated reasoning
1636,machine learning
1637,combinatorial optimization
1638,personal data classification
1639,privacy protection
1640,sensitive data corpus
1641,sensitive information detection
1642,sensitive personal data
1643,transformer models
1645,commonsense reasoning
1646,ethics & ai
1647,frame semantics
1648,knowledge representation
1649,moral values
1650,symbolism
1651,similarity metric
1652,quantitative cultural analysis
1653,dolce
1654,formal ontology
1655,foundational ontology
1656,ontological analysis
1657,use cases
1658,perspectives
1659,perspectivisation
1660,frame semantics
1661,ontology design patterns
1662,knowledge extraction
1663,frame semantics
1664,knowledge graph
1665,knowledge representation
1666,machine reading
1667,ontology engineering
1668,foundations of trustworthy ai
1669,automated reasoning
1670,machine learning
1671,combinatorial optimization
1672,claim verification
1673,graph-based nlp
1674,passage retrieval
1675,sparql
1676,meta-model
1677,re-engineering
1678,rdf
1679,graph-based ai
1680,privacy knowledge graph
1681,privacy protection
1682,semantic models
1683,sensitive personal data
1684,natural language processing
1685,health data
1686,systematic reviews
1687,guidelines
1688,evidence-based
1689,medicine
1690,covid-19
1691,sars-cov-2
1692,machine reading
1693,machine learning
1694,artificial intelligence
1695,cognitive semantics
1696,embodied cognition
1697,frame semantics
1698,image schemas
1699,knowledge reprentation
1700,moral values
1701,frame semantics
1702,zero-shot learning
1703,natural language inferenced
1704,recurrent situations
1705,ontology design patterns
1706,arco
1707,ontology networks
1708,sparql
1709,metamodel
1710,reengineering
1711,fuzzy logic
1712,wordnet synsets
1713,knowledge graph
1714,linked data
1715,ontology
1716,semantic web
1717,symbolism
1718,cultural heritage knowledge graph
1719,ontology design patterns
1720,ontology testing
1721,ontology evaluation
1722,dependency parsing
1723,frame semantics
1724,framester
1725,role oriented knowledge graphs
1726,semantic role labeling
1727,computational musicology
1728,music information retrieval
1729,ontology
1730,owl
1731,rdf
1732,semantic web
1733,computational musicology
1734,music information retrieval
1735,semantic web
1736,linked open data
1737,ontology design patterns
1738,computational musicology
1739,computer music
1740,music information retrieval
1741,symbolism
1742,knowledge graphs
